symbol,entry_ts,exit_ts,entry,exit,why,pnl,rise_pct,rise_bars,retrace_bars,qv24h,taker_buy_60,vol60_bp,n_legs,entry_at
TNSRUSDT,1782029520000,1782030300000,0.04585,0.04781136111111112,SL,-8.7756,10.86,14,43,109998746.30503501,0.484,117.57,5,2026-06-21 08:12:00
TNSRUSDT,1782033240000,1782033600000,0.0482,0.05026188888888889,SL,-8.7756,8.96,13,17,163977828.38379702,0.5053,102.12,7,2026-06-21 09:14:00
CLOUSDT,1782040320000,1782042120000,0.1941,0.19317,TIME,0.7383,16.2,9,49,80542034.53850001,0.5042,121.7,5,2026-06-21 11:12:00
SYNUSDT,1782041880000,1782043680000,0.14313,0.14744,TIME,-6.2425,9.95,20,50,111989898.37014002,0.5053,80.07,2,2026-06-21 11:38:00
MMTUSDT,1782042120000,1782043920000,0.1588,0.1551,TIME,4.4399,11.97,25,46,25461638.329500005,0.5016,88.2,1,2026-06-21 11:42:00
BICOUSDT,1782043740000,1782045540000,0.04727,0.04865,TIME,-6.0588,11.97,9,105,648178144.39941,0.4963,60.67,2,2026-06-21 12:09:00
METUSDT,1782045180000,1782046980000,0.1738,0.1767,TIME,-3.5572,7.49,10,28,47743278.0906,0.5145,71.93,1,2026-06-21 12:33:00
BTWUSDT,1782049320000,1782049740000,0.1089,0.1007863879269951,TP,14.681,13.77,12,73,791263979.918669,0.4825,114.63,4,2026-06-21 13:42:00
BTWUSDT,1782055380000,1782056760000,0.09032,0.0941836888888889,SL,-8.7756,7.91,10,28,768826228.656684,0.4758,100.4,5,2026-06-21 15:23:00
IDOLUSDT,1782063360000,1782064740000,0.02098,0.019701529034822772,TP,11.9675,11.05,20,24,14112888.70287,0.4808,88.54,1,2026-06-21 17:36:00
1000000BOBUSDT,1782064080000,1782064500000,0.01275,0.013295416666666665,SL,-8.7756,19.38,16,11,2218815.95687,0.4838,180.54,1,2026-06-21 17:48:00
RESOLVUSDT,1782065040000,1782066240000,0.02487,0.025933883333333334,SL,-8.7756,9.39,5,104,153699515.4979,0.4928,80.67,3,2026-06-21 18:04:00
1000000BOBUSDT,1782067560000,1782069360000,0.01479,0.01396,TIME,11.0038,25.92,9,11,10111315.772300001,0.5025,240.71,3,2026-06-21 18:46:00
BELUSDT,1782084960000,1782086760000,0.17121,0.16891,TIME,2.4668,7.0,14,5,48557661.044709995,0.4895,92.19,1,2026-06-21 23:36:00
LABUSDT,1782091920000,1782093720000,15.4,15.116,TIME,3.4683,16.53,41,43,490815014.50571,0.4907,130.47,2,2026-06-22 01:32:00
BTWUSDT,1782098040000,1782098400000,0.09389,0.09790640555555556,SL,-8.7756,7.91,12,32,410655645.146957,0.4983,86.18,3,2026-06-22 03:14:00
BTWUSDT,1782100020000,1782100800000,0.09358,0.0897780059063719,TP,7.9057,7.16,15,18,401248029.566105,0.4835,137.01,4,2026-06-22 03:47:00
BTWUSDT,1782100860000,1782101400000,0.09046,0.09432967777777777,SL,-8.7756,7.41,22,95,395798421.77081895,0.4699,141.52,4,2026-06-22 04:01:00
EPICUSDT,1782105420000,1782107220000,0.459,0.4609,TIME,-1.0479,7.0,7,53,24615707.46474,0.4726,66.51,2,2026-06-22 05:17:00
CLOUSDT,1782105840000,1782107640000,0.23067,0.23253,TIME,-1.8327,7.17,21,34,61412560.237660006,0.5225,82.58,5,2026-06-22 05:24:00
RESOLVUSDT,1782106380000,1782106440000,0.02107,0.020218215767579425,TP,7.8653,7.12,12,51,184161345.52822,0.4914,86.34,2,2026-06-22 05:33:00
RESOLVUSDT,1782106500000,1782108300000,0.0192,0.01956,TIME,-3.97,7.55,18,118,186570263.75559998,0.4543,139.86,2,2026-06-22 05:35:00
TNSRUSDT,1782112440000,1782114240000,0.04353,0.04401,TIME,-2.4254,7.01,12,102,588290985.087721,0.4923,39.65,2,2026-06-22 07:14:00
BTWUSDT,1782119280000,1782121080000,0.10032,0.09834,TIME,3.7274,14.71,15,46,366717701.59251,0.5152,143.61,4,2026-06-22 09:08:00
SYNUSDT,1782124860000,1782125460000,0.26363,0.27490750555555554,SL,-8.7756,8.19,11,50,377336276.98105,0.5147,82.99,4,2026-06-22 10:41:00
ARCUSDT,1782125880000,1782127680000,0.07918,0.07983,TIME,-1.8618,7.88,15,6,2439025.8240199997,0.502,123.93,1,2026-06-22 10:58:00
INITUSDT,1782129540000,1782131340000,0.06057,0.0599,TIME,1.9923,7.37,8,66,4099541.8544199998,0.4525,51.43,1,2026-06-22 11:59:00
LAYERUSDT,1782130740000,1782132540000,0.08289,0.08089,TIME,4.6057,8.16,25,62,68693008.864657,0.495,69.5,2,2026-06-22 12:19:00
RESOLVUSDT,1782137580000,1782139380000,0.02173,0.02089,TIME,7.5112,12.22,11,114,211013673.83318996,0.4635,54.03,1,2026-06-22 14:13:00
ESPORTSUSDT,1782137820000,1782139620000,0.02703,0.02693,TIME,0.5199,10.67,17,115,48461486.820659995,0.4718,53.33,2,2026-06-22 14:17:00
SYNUSDT,1782139560000,1782140100000,0.21821,0.22754453888888887,SL,-8.7756,8.38,9,37,586450840.27668,0.5131,131.23,2,2026-06-22 14:46:00
BELUSDT,1782148980000,1782150780000,0.20661,0.20042,TIME,5.772,8.57,29,104,138000675.69556,0.5075,63.81,3,2026-06-22 17:23:00
SYNUSDT,1782173820000,1782175320000,0.27603,0.25800222184924854,TP,12.8422,11.91,15,85,826572989.9465799,0.4994,64.65,2,2026-06-23 00:17:00
RESOLVUSDT,1782177480000,1782179280000,0.02233,0.02215,TIME,1.3922,7.04,5,17,83621335.19736001,0.4717,98.13,1,2026-06-23 01:18:00
BLESSUSDT,1782180180000,1782181140000,0.011193,0.010715608115323528,TP,8.3102,7.53,18,92,76037551.190418,0.4923,73.67,2,2026-06-23 02:03:00
GUAUSDT,1782188760000,1782190560000,0.4627,0.468,TIME,-2.5109,9.12,11,80,20571543.12049,0.4701,76.8,3,2026-06-23 04:26:00
HUSDT,1782194880000,1782196680000,0.12591,0.1221,TIME,5.8319,9.07,4,114,84810411.24602,0.4369,42.33,1,2026-06-23 06:08:00
UBUSDT,1782196080000,1782196200000,0.08725,0.08355865656632377,TP,8.2415,7.47,9,77,221112205.90028,0.516,52.35,1,2026-06-23 06:28:00
DODOXUSDT,1782197220000,1782198540000,0.016898,0.01762085888888889,SL,-8.7756,7.91,23,52,2723110.6500870003,0.4456,84.13,1,2026-06-23 06:47:00
SYNUSDT,1782202080000,1782203760000,0.25726,0.2682650111111111,SL,-8.7756,10.44,32,56,811732354.45592,0.5007,69.5,3,2026-06-23 08:08:00
BICOUSDT,1782202260000,1782204060000,0.03076,0.02884,TIME,12.2637,23.08,20,34,162413379.86824,0.4825,178.45,1,2026-06-23 08:11:00
GUAUSDT,1782204060000,1782205020000,0.3971,0.3810970905075619,TP,7.8399,7.1,4,5,20035328.5793,0.4424,102.87,3,2026-06-23 08:41:00
AGTUSDT,1782205680000,1782207480000,0.02079,0.020862,TIME,-0.9126,9.88,22,43,10010422.745129,0.4881,70.55,1,2026-06-23 09:08:00
GUAUSDT,1782222300000,1782223020000,0.4779,0.4983435,SL,-8.7756,10.21,10,19,27781279.9444,0.4808,130.05,3,2026-06-23 13:45:00
GUSDT,1782222900000,1782223860000,0.003114,0.00295607037098966,TP,9.9232,9.06,6,55,32657772.057047,0.5009,85.64,2,2026-06-23 13:55:00
GUAUSDT,1782224880000,1782225120000,0.4583,0.47790505555555557,SL,-8.7756,7.14,9,5,28935280.713299997,0.4564,145.58,4,2026-06-23 14:28:00
AXTIUSDT,1782227160000,1782228960000,81.92,81.01,TIME,2.0017,7.07,14,94,19281677.4576,0.5291,31.59,1,2026-06-23 15:06:00
TUSDT,1782236760000,1782238560000,0.003547,0.003542,TIME,0.0619,9.03,7,79,3331828.9017000003,0.5106,39.06,1,2026-06-23 17:46:00
CLOUSDT,1782240720000,1782242520000,0.20751,0.21006,TIME,-2.6777,14.6,13,105,89042998.21684,0.5015,70.8,2,2026-06-23 18:52:00
