symbol,entry_ts,exit_ts,entry,exit,why,pnl,rise_pct,entry_at
OLUSDT,1750865100000,1750866120000,0.03665,0.03493189146360982,TP,9.1558,8.33,2025-06-25 15:25:00
HUSDT,1750865580000,1750865820000,0.04604,0.04800948888888889,SL,-8.7756,8.05,2025-06-25 15:33:00
ZKJUSDT,1750881120000,1750882920000,0.2132,0.2082,TIME,4.4704,10.86,2025-06-25 19:52:00
DMCUSDT,1750891080000,1750892880000,0.004906,0.004901,TIME,-0.0162,10.29,2025-06-25 22:38:00
PEOPLEUSDT,1750906020000,1750907820000,0.01728,0.01755,TIME,-3.345,7.91,2025-06-26 02:47:00
BSWUSDT,1750923600000,1750925160000,0.02442,0.025464633333333334,SL,-8.7756,14.79,2025-06-26 07:40:00
LEVERUSDT,1750923720000,1750923900000,0.0003573,0.00037258450000000003,SL,-8.7756,35.47,2025-06-26 07:42:00
ALPHAUSDT,1750933500000,1750935300000,0.01787,0.01799,TIME,-1.563,7.53,2025-06-26 10:25:00
MILKUSDT,1750933740000,1750935540000,0.06301,0.06259,TIME,1.1131,9.6,2025-06-26 10:29:00
BSWUSDT,1750933800000,1750934220000,0.0334,0.03482877777777778,SL,-8.7756,9.57,2025-06-26 10:30:00
LEVERUSDT,1750933920000,1750935720000,0.0003858,0.0003901,TIME,-2.4491,8.56,2025-06-26 10:32:00
DUSDT,1750934280000,1750936080000,0.03143,0.03143,TIME,-0.22,9.25,2025-06-26 10:38:00
BSWUSDT,1750938180000,1750938420000,0.03364,0.03217657041346632,TP,8.4805,7.69,2025-06-26 11:43:00
BSWUSDT,1750940700000,1750941000000,0.03258,0.030989930033452913,TP,9.541,8.7,2025-06-26 12:25:00
HUSDT,1750950120000,1750951920000,0.01946,0.01879,TIME,6.6659,9.12,2025-06-26 15:02:00
BSWUSDT,1750954560000,1750955220000,0.02624,0.02736248888888889,SL,-8.7756,8.66,2025-06-26 16:16:00
SAHARAUSDT,1750960500000,1750960920000,0.09134,0.08408084386875568,TP,15.6748,14.8,2025-06-26 17:55:00
BANANAS31USDT,1750964640000,1750965720000,0.010863,0.009604981625492082,TP,22.9415,22.77,2025-06-26 19:04:00
MYXUSDT,1750976760000,1750977180000,0.11337,0.10770242752442878,TP,9.7784,8.92,2025-06-26 22:26:00
MYXUSDT,1750986240000,1750986540000,0.10359,0.09901042141251654,TP,8.6217,7.83,2025-06-27 01:04:00
MYXUSDT,1750996080000,1750997460000,0.08714,0.09086765555555555,SL,-8.7756,9.11,2025-06-27 03:48:00
BANANAS31USDT,1750998180000,1750998660000,0.008757,0.008381482407124177,TP,8.3564,7.58,2025-06-27 04:23:00
