feat,p_mw,med_win,med_loss,rho,p_rho,q_mw,q_rho
sma50_dev|pump_mean,0.38562654388903184,2.222943732208546,1.9836476465289712,0.01744234214818227,0.7266936693107141,0.9832415517135147,0.998188017608607
kst|entry_m_top,0.3856266087382222,-55.99677321777369,-58.4501100272184,0.04791566005235759,0.3367228422954836,0.9832415517135147,0.998188017608607
tsi|top_val,0.3856266087382222,36.71109444766347,35.88107029652045,-0.01763433580744344,0.7238073237209365,0.9832415517135147,0.998188017608607
ema10_50_x|top_val,0.3870283187362298,3.485213979449586,3.4936621231644205,0.029790141958778178,0.5504728763851453,0.9832415517135147,0.998188017608607
di_diff|pump_mean,0.3874962451721602,11.271638701555258,10.403645983083594,0.027915496264266624,0.5758443872090462,0.9832415517135147,0.998188017608607
parkinson20|watch_min,0.38819841421221146,0.34352233674215,0.3568915796497436,-0.03645780135338385,0.46492260068476743,0.9832415517135147,0.998188017608607
sma20_dev|top_val,0.39479274717399615,4.371638462547556,4.280578799504586,0.022659372995023613,0.6497605407255125,0.9832415517135147,0.998188017608607
tsi|retr_mean,0.39597778608931034,1.6538666992675175,0.8262251470527957,0.0014475227506208022,0.9768608319353135,0.9832415517135147,0.9987867265208704
range_ratio20|watch_mean,0.39597778608931034,1.0832367639745726,1.074714252996746,-0.00848531503274397,0.8649886438592062,0.9832415517135147,0.998188017608607
tk_buy60|top_val,0.39621556976589567,50.99198271734405,50.72781593758524,0.08941497647156264,0.09162226470930841,0.9832415517135147,0.998188017608607
vortex_diff|entry_m_top,0.39692705154341557,-0.9686824630557754,-0.9123988788811126,-0.007116228579020019,0.8866115934953641,0.9832415517135147,0.998188017608607
mfi|pump_mean,0.3976396431567477,59.85858282831784,59.59068140927079,-0.04297901946204594,0.3889136677149673,0.9832415517135147,0.998188017608607
roc5|entry_m_top,0.40073782177038286,-7.270171032336448,-6.481132015946788,0.018824165294941405,0.706008539182389,0.9832415517135147,0.998188017608607
cci|at_entry,0.4021725081866905,-167.03288230985774,-169.27085362780798,-0.0053185632872633825,0.9151290720089197,0.9832415517135147,0.998188017608607
vol_ratio60|watch_slope,0.4040902081376274,-0.0024164357074103,-0.0021009650591135,-0.05132627406661261,0.3034198796443857,0.9832415517135147,0.998188017608607
dpo|at_entry,0.4040902081376274,0.4139871382636646,0.5279421085992048,-0.06048621404737662,0.22509088799968724,0.9832415517135147,0.998188017608607
tsi|watch_slope,0.40890833968483553,-0.058085178241902,-0.0820633867732671,0.04977847660696591,0.3182533151927382,0.9832415517135147,0.998188017608607
vol_ratio20|watch_mean,0.4093920262756334,1.142319052535841,1.1266563321588503,0.007826158959982019,0.8753876179912541,0.9832415517135147,0.998188017608607
vpt_slope|watch_max,0.4108447009253262,0.0182021745957053,0.0159816092755933,0.012112049354861334,0.808234893297817,0.9832415517135147,0.998188017608607
ema20_dev|at_entry,0.4132737560283306,-3.3733421744361336,-3.376529562180286,0.0791522328411501,0.11217246106520357,0.9832415517135147,0.998188017608607
roc15|entry_m_top,0.4147350057432837,-10.562371028821518,-11.08932183739308,0.07209733380285918,0.14802821664731944,0.9832415517135147,0.998188017608607
trix|entry_m_top,0.4161993056669656,-0.2165558519384509,-0.2328665949747095,0.040385593563491994,0.41819566460606017,0.9832415517135147,0.998188017608607
atr_pct|watch_max,0.4161993056669656,2.0761016711435856,2.166990590040488,-0.03785452159773463,0.44798360974994783,0.9832415517135147,0.998188017608607
range_pct|at_entry,0.4166880829096731,2.3286759813706013,2.593743928502032,-0.0958768167966507,0.054158453927879276,0.9832415517135147,0.998188017608607
force|pump_mean,0.4171771985859608,0.002266113847934,0.0021437559015259,0.010047671433810046,0.8404366176409882,0.9832415517135147,0.998188017608607
tk_buy1|watch_max,0.4194583007674717,79.09936572040641,77.71665324545009,0.02379792366027002,0.6517846452971697,0.9832415517135147,0.998188017608607
sma20_dev|at_entry,0.42110229294521184,-3.924796172937939,-4.007337215172302,0.07724118979309014,0.12113318723662254,0.9832415517135147,0.998188017608607
body_pct|retr_mean,0.4220869422558604,0.7585120272315299,0.7800323764622092,-0.06806432504292613,0.17212078661211758,0.9832415517135147,0.998188017608607
s|entry_bar_range,0.4230729398425872,2.2913256955810235,2.546975924838521,-0.09514905171244999,0.05601950622277167,0.9832415517135147,0.998188017608607
wick_ratio|at_entry,0.42455191201299325,0.3395348837051372,0.3733333328355585,-0.025631976416229368,0.6074726371813848,0.9832415517135147,0.998188017608607
uo|watch_slope,0.42455446200158375,-0.0513230862734949,-0.0468075956808376,-0.030877148922501842,0.5360167599869609,0.9832415517135147,0.998188017608607
kc_pos|watch_min,0.42802303174990086,-1.326923025887658,-1.4185267856509651,0.0720851538079658,0.14809689731321135,0.9832415517135147,0.998188017608607
macd|pump_mean,0.42802311581479413,0.4889268133841466,0.5016699446818654,0.007006126584536039,0.8883543920555722,0.9832415517135147,0.998188017608607
kama_dev|at_entry,0.42802311581479413,-2.756390487796878,-2.80571043415474,0.08850234899420462,0.07559267975483001,0.9832415517135147,0.998188017608607
tsi|at_entry,0.428519980857609,-19.07221580278304,-21.065948827275275,0.039796684383078505,0.42502077774845465,0.9832415517135147,0.998188017608607
roc5|retr_mean,0.428519980857609,-0.701637879520539,-0.8199250834417449,0.06997500411745061,0.1603654479604934,0.9832415517135147,0.998188017608607
pct_rank60|entry_m_top,0.42924553786676334,-95.0,-96.66666666666666,0.08274624015174878,0.09673859569233079,0.9832415517135147,0.998188017608607
ema5_dev|watch_min,0.42976337954588484,-2.834194929458722,-3.0136567580771545,0.08867955749350427,0.0750067045672479,0.9832415517135147,0.998188017608607
uo|at_entry,0.43400760054427867,39.42644714296797,38.87096377043223,-0.0038472002700683633,0.9385531767638505,0.9832415517135147,0.998188017608607
adx|watch_mean,0.4355112427454795,29.110348120122907,29.841324901498712,-0.04852859148611304,0.3305713550187825,0.9832415517135147,0.998188017608607
mass|watch_mean,0.43601312385044766,25.402893062739828,25.3543975084031,0.02518223699954776,0.613791741369819,0.9832415517135147,0.998188017608607
mass|watch_min,0.43601312385044766,22.270543824809028,22.324154561330403,-0.005062325918282482,0.9192036715185924,0.9832415517135147,0.998188017608607
body_pct|top_val,0.43751995312261405,0.9721975220819312,1.038715769593947,-0.039969278759289496,0.42301382443784036,0.9832415517135147,0.998188017608607
kc_pos|top_val,0.4375205577751633,1.8661616158788776,1.867434537319453,-0.007695040994813717,0.8774587781499543,0.9832415517135147,0.998188017608607
dpo|watch_slope,0.437520766275599,0.0023421132052046,0.0025793084228097,-0.03172484328664463,0.5248769649062243,0.9832415517135147,0.998188017608607
oi|chg_30m,0.437520766275599,0.1725645023629818,0.4489571057380459,-0.04743994664147969,0.3415474077185369,0.9832415517135147,0.998188017608607
ema10_50_x|retr_mean,0.437520766275599,0.7456019719349901,0.6720385563335491,0.005570796947353958,0.9111203064262426,0.9832415517135147,0.998188017608607
willr|watch_min,0.4398767140818103,-98.69976359338062,-98.86246122026878,0.024546397314609125,0.6227745609157705,0.9832415517135147,0.998188017608607
stoch_k|watch_min,0.4398767140818103,1.300236406619375,1.1375387797312315,0.024546397314609125,0.6227745609157705,0.9832415517135147,0.998188017608607
rsi14|watch_mean,0.44004015866113255,54.86572362663859,54.49196216594802,-0.0017845622444792035,0.9714752066064668,0.9832415517135147,0.9987867265208704
ulcer|watch_mean,0.44155578064905177,1.7029134262642898,1.813707644610336,0.000729766938645891,0.9883331995449863,0.9832415517135147,0.9987867265208704
ppo|pump_mean,0.44206165151453525,0.5016083869515798,0.5130868494612766,0.006791928158903566,0.8917464609828238,0.9832415517135147,0.998188017608607
roc60|retr_mean,0.44307438765027674,2.9499183820188963,2.768923220779112,0.005871257100896193,0.906348022288246,0.9832415517135147,0.998188017608607
zscore60|pump_mean,0.44307438765027674,1.225687566510448,1.1334828913993793,0.03550106871729357,0.47672735585754694,0.9832415517135147,0.998188017608607
ichi_conv_base|watch_mean,0.4451038333026226,0.2614490195603459,0.2307727652257719,0.017087283583610634,0.7320416271605353,0.9832415517135147,0.998188017608607
ema10_dev|top_val,0.44535786543726097,2.3725335333862896,2.275738739730637,0.005513380372971894,0.9120326372938821,0.9832415517135147,0.998188017608607
nvi|retr_m_pump,0.4461205403764916,-0.2882883073810718,-0.6102275896052191,0.0275213129253372,0.5812484487149833,0.9832415517135147,0.998188017608607
sma5_20_x|retr_m_pump,0.44713856863819235,-1.0271899052185325,-1.1462549814794212,0.036292711156971774,0.46694795001428485,0.9832415517135147,0.998188017608607
